"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,5.81686955355,2.7133420367,7.09462275017,17.5568622532
17.9846333333,0.259601652732,536.029317301,14.4070098663,5.37490087111
27.8278,409.940907862,156.002507327,27.5724727803,-17.006521106
27.8611666667,408.413848614,152.111882425,-92.1538377332,-116.531409487
27.8945333333,395.640026885,142.1702339,-287.258756933,-258.118791278
27.9279,383.068937207,130.540509249,-415.248506994,-337.473770005
27.9612666667,368.614706821,120.220514727,-504.982335616,-392.528539258
27.9946333333,351.638949487,107.831532276,-656.565345674,-527.506614279
28.028,324.696979212,81.0175378066,-813.937397969,-557.403881774
28.0613666667,297.528099576,68.4454821102,-983.295529707,-521.746867107
28.0947333333,258.855795036,47.6411625258,-1136.20694599,-507.01463049
28.1281,221.641719314,33.1994745545,-1277.83316976,-448.741576394
28.1614666667,170.042464638,17.7817286492,-1324.25777003,-386.093841
28.1948333333,133.768132051,5.72705360511,-1372.046016,-272.531490702
28.2282,80.3636518522,-1.12065335344,-1460.52218521,-138.100199566
28.2615666667,33.1683811382,-1.79320351726,-1469.77612727,-40.5889419635
28.2949333333,-16.716549785,-4.62419186651,-1494.35504036,73.0297636792
28.3283,-67.062728068,2.21359048427,-1487.00807842,203.416005379
28.3616666667,-119.238224341,11.0985275427,-1384.74095626,278.196770969
28.3950333333,-160.365530997,20.7317170342,-1249.17251265,354.047407227
28.4284,-202.533644539,34.1434159708,-1112.01722408,439.32886328
28.4617666667,-233.0059449,49.4107953096,-1017.2115011,535.674098441
28.4951333333,-269.7341397,71.6619433659,-941.604638092,574.998853162
28.5285,-297.56634643,90.1334691088,-817.077369235,545.730440406
28.5618666667,-324.705776714,108.67825181,-684.825455009,487.45172187
28.5952333333,-343.861011979,121.311767741,-532.262148804,449.007489915
28.6286,-356.697046096,140.825127692,-456.705176019,350.582671425
28.6619666667,-378.077572328,146.843562953,-290.378022867,197.442097711
28.6953333333,-379.632330716,151.55757579,-36.2458557044,101.485516424
28.7287,-373.431898718,152.829245182,44.8261551687,25.6279082896
28.7620666667,-378.377635986,154.701234372,160.039927671,-83.8415457174
28.7954333333,-364.168826672,147.71670996,303.987150041,-210.408467298
28.8288,-355.870358046,140.697002871,391.103034575,-331.725944315
28.8621666667,-340.491177637,124.727633998,531.39591301,-424.694248115
28.8955333333,-315.87063079,109.157841926,560.573551763,-427.511928361
28.9289,-304.258790487,97.8919018579,635.422601585,-464.245312621
28.9622666667,-279.792519132,77.8853763463,867.594288848,-489.035212276
28.9956333333,-245.132877381,64.1458504516,1066.44726843,-486.166630966
29.029,-203.378634712,46.2430742107,1132.95866369,-493.343584421
29.0623666667,-167.946124065,29.7573028165,1142.6065423,-452.038864831
29.0957333333,-131.517131,14.3590011551,1258.86165965,-358.568797669
29.1291,-82.8557879024,5.36364254124,1348.07805339,-242.234179323
29.1624666667,-40.8783423575,-1.80042685757,1433.48037663,-125.024469462
29.1958333333,13.6978456642,-2.89354362628,1483.16220416,-7.974676703
29.2292,55.2517160458,-1.34123054949,1578.62801337,88.3863582268
29.2625666667,124.661261101,0.993280720586,1506.97289739,228.955462824
29.2959333333,162.335635996,13.7581381887,1260.34792563,366.712464311
29.3293,205.079507759,29.8762217827,1101.54366323,388.032793256
29.3626666667,231.397236158,39.0172602155,1055.14081504,413.502246237
29.3960333333,275.426993678,56.5795266505,1028.22164406,457.783765489
29.4294,304.57436513,70.6729246786,873.121810525,469.855470825
29.4627666667,332.252847446,86.618075621,747.0931814,510.473808794
29.4961333333,357.321295037,108.521455611,543.125939322,443.800955047
29.5295,364.668566014,115.407086415,439.21228313,384.813435704
29.5628666667,386.358479482,135.07894165,347.917863371,295.645914893
29.5962333333,390.736061826,137.354085793,195.970973734,153.718686531
29.6296,395.371856484,141.685418785,132.140341263,93.4572841971
29.6629666667,401.412638273,144.73306467,17.9703186053,3.00129314707
29.6963333333,401.369018886,145.732112891,-206.581893404,-173.562563588
29.7297,382.274737702,129.297652579,-298.873406721,-253.610640117
29.7630666667,379.353936946,126.433147666,-347.066512169,-274.737334851
29.7964333333,362.884755228,113.546256584,-489.949666549,-355.718308781
29.8298,350.084506926,104.299429164,-724.196434799,-474.853355931
29.8631666667,312.879721998,80.7791931853,-917.508178239,-560.874497105
29.8965333333,284.451396724,63.202125079,-993.45264032,-539.012457622
29.9299,247.122899959,43.5004397799,-1065.70905734,-470.630908886
29.9632666667,215.226670863,32.723888919,-1158.61482091,-408.528280073
29.9966333333,165.934350211,16.3198938718,-1178.26429453,-350.853805183
30.03,133.813435359,6.65960478971,-1135.41775529,-229.636512827
30.0633666667,103.762430953,4.3074972026,-1434.09969413,-184.574525661
30.0967333333,31.9208526951,-6.08608081163,-1575.34966963,-123.661470309
30.1301,-7.27617987348,-7.79746021279,-1555.4214433,32.9564610059
30.1634666667,-70.7490474985,-1.92379863859,-1522.79639186,155.306174983
30.1968333333,-113.340726931,2.47256275962,-1351.19082806,278.190316582
30.2302,-159.220226935,14.2911695216,-1226.46755868,447.589690602
30.2635666667,-197.41643255,37.2993168411,-1044.02772042,490.221516044
30.2969333333,-224.468197017,46.8510828626,-985.887148494,518.653946524
30.3303,-262.670212229,70.0818449009,-934.328658449,570.20609378
30.3636666667,-289.614958632,91.06321994,-813.121386861,465.3373092
30.3970333333,-319.120157494,100.120779531,-633.821492832,385.376892647
30.4304,-330.103782094,112.849107603,-492.760365574,393.352074864
30.4637666667,-349.181579829,127.918006757,-422.947248306,364.455076846
30.4971333333,-361.881060253,140.184331774,-266.472869271,252.535998691
30.5305,-367.222857479,145.037976696,-105.010718454,119.569420518
30.5638666667,-367.355589911,148.078049214,22.2093756535,-12.3044298362
30.5972333333,-365.080445768,143.70046687,128.054044262,-127.863017799
30.6306,-359.275292364,138.08505823,237.054826049,-198.660265189
30.6639666667,-349.602686857,131.473334711,352.573696528,-287.905765142
30.6973333333,-333.645732078,117.22611961,423.443037342,-334.135383246
30.7307,-322.902004128,109.007244394,536.979339799,-377.45073898
30.7640666667,-301.045433138,94.055759129,730.899756904,-463.422885987
30.7974333333,-271.436391558,76.6197546705,862.334216331,-508.495733796
30.8308,-242.157285756,57.7852150198,957.527604923,-489.170946873
30.8641666667,-209.301750952,44.6198853429,1088.85717193,-471.826194859
30.8975333333,-168.603957377,26.0180183102,1192.17551853,-438.866042381
30.9309,-129.256037828,13.5271494156,1281.91779335,-353.437991122
30.9642666667,-81.6312148158,2.48072001562,1323.23738028,-260.245029765
30.9976333333,-41.3847896479,-4.79802707931,1368.12943318,-135.852636718
31.031,11.1768006505,-6.6750779981,1369.91320218,-8.73974497645
31.0643666667,49.9874825397,-4.98056703189,1367.2892446,108.168153724
31.0977333333,101.790417456,0.757162550064,1378.34919437,218.001341343
31.1311,143.668354131,9.84249971979,1335.24864564,316.19618035
31.1644666667,190.074643208,21.6005609382,1306.74580911,412.629394094
31.1978333333,234.46689064,38.8306665676,1171.62231464,463.094298076
31.2312,267.081217725,54.1154875471,1053.67222351,465.925879435
31.2645666667,306.591319059,69.7013845324,882.210605475,466.186733152
31.2979333333,327.315076364,84.8150394806,679.595997731,467.092531516
31.3313,348.49827377,102.032768787,565.929709391,430.780324613
31.3646666667,365.587145363,115.681790741,444.391450474,333.586917065
31.3980333333,378.117227799,124.220847551,330.066349002,231.399448936
31.4314,387.849637432,130.209663072,202.753819092,150.52866862
31.4647666667,392.220059906,134.529409664,58.6093088818,59.1480596073
31.4981333333,392.262987759,134.531283935,-95.929370796,-42.3538804136
31.5315,385.093145111,133.52226693,-224.275804187,-182.596424656
31.5648666667,375.34074231,119.931594036,-298.881414919,-258.496826519
31.5982333333,364.555786116,113.243858111,-361.129784919,-257.855432837
31.6316,353.742571853,106.128701527,-487.053163728,-336.6213873
31.6649666667,333.601182985,91.7364482477,-662.344033571,-436.604371933
31.6983333333,307.333310611,74.3788266378,-793.520437602,-471.994968783
31.7317,282.658608119,59.3976474687,-969.103774424,-474.772011017
31.7650666667,243.107974349,42.7699283995,-1142.99897648,-465.07033512
31.7984333333,201.766002767,27.4090280032,-1198.97361087,-422.558683185
31.8318,163.18868503,13.2949067713,-1244.14938009,-341.247276259
31.8651666667,121.09813735,4.24329649032,-1337.3940894,-241.560311981
31.8985333333,71.0812254155,-2.46041601506,-1353.3454948,-144.305666344
31.9319,30.2774083042,-6.32596391469,-1360.75781922,-21.578471381
31.9652666667,-19.9368859222,-4.3894375218,-1357.19706794,107.180941336
31.9986333333,-57.109331314,2.24543811478,-1418.81055445,198.028083598
32.032,-117.568199386,10.7296156358,-1395.248897,239.741733569
32.0653666667,-156.738049686,16.2763300055,-1199.03211312,330.573734926
32.0987333333,-193.465817444,31.532557825,-1094.30295836,449.834897683
32.1321,-228.450306853,47.6077933919,-1012.28769046,523.770508873
32.1654666667,-263.112771063,69.3821873368,-884.991014897,516.509997264
