Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID308156,308156,2,21.812,214.349,258.314,0,0,0,5,1,-10921639,108.299,54,11,255,10505,97.738,5.117,0.852,1.019
ID308154,308154,0,10.592,266.836,125.367,0,0,0,5,1,-10921639,35.464,4,1,255,3440,73.570,2.000,0.889,0.454
ID308155,308155,1,21.085,288.871,145.176,0,0,0,5,1,-10921639,98.134,40,10,255,9519,101.364,5.144,0.880,0.906
ID308152,308152,1,21.135,293.075,147.088,0,1,1,5,1,-10921639,98.701,38,10,255,9574,101.594,5.116,0.885,0.912
ID308153,308153,2,21.974,217.941,259.736,0,1,1,5,1,-10921639,108.588,60,13,255,10533,97.802,5.171,0.851,1.021
ID308151,308151,0,10.596,266.813,125.370,0,1,1,5,1,-10921639,35.361,4,2,255,3430,73.747,2.000,0.891,0.452
ID308148,308148,0,10.561,266.859,125.372,0,2,2,5,1,-10921639,35.227,4,1,255,3417,73.314,2.000,0.896,0.454
ID308149,308149,1,21.022,297.551,149.068,0,2,2,5,1,-10921639,99.866,41,9,255,9687,101.840,5.135,0.887,0.922
ID308150,308150,2,21.961,221.416,260.945,0,2,2,5,1,-10921639,109.196,56,14,255,10592,98.594,5.156,0.850,1.018
ID308157,308157,0,10.588,266.873,125.349,0,3,3,5,1,-10921639,35.196,4,1,255,3414,73.321,2.000,0.898,0.454
ID308158,308158,1,21.200,302.157,151.047,0,3,3,5,1,-10921639,100.175,40,8,255,9717,101.842,5.112,0.885,0.923
ID308159,308159,2,22.011,225.007,262.067,0,3,3,5,1,-10921639,108.072,57,14,255,10483,97.398,5.158,0.850,1.019
ID308160,308160,0,10.535,266.870,125.340,0,4,4,5,1,-10921639,34.969,4,1,255,3392,73.081,2.000,0.897,0.452
ID308161,308161,1,21.291,307.007,153.057,0,4,4,5,1,-10921639,101.433,44,9,255,9839,101.299,5.114,0.886,0.941
ID308162,308162,2,22.127,228.654,263.122,0,4,4,5,1,-10921639,110.134,56,15,255,10683,99.048,5.205,0.852,1.023
ID308168,308168,2,22.199,232.270,264.073,0,5,5,5,1,-10921639,109.794,55,15,255,10650,99.059,5.152,0.851,1.019
ID308166,308166,0,10.523,266.888,125.335,0,5,5,5,1,-10921639,34.866,4,1,255,3382,73.022,2.000,0.899,0.452
ID308167,308167,1,21.301,311.963,155.118,0,5,5,5,1,-10921639,103.144,47,10,255,10005,101.313,5.127,0.884,0.956
ID308164,308164,1,21.266,317.158,157.284,0,6,6,5,1,-10921639,104.969,45,8,255,10182,102.020,5.142,0.881,0.964
ID308165,308165,2,22.205,235.974,264.983,0,6,6,5,1,-10921639,108.784,62,15,255,10552,98.536,5.157,0.850,1.014
ID308163,308163,0,10.556,266.858,125.328,0,6,6,5,1,-10921639,34.928,4,2,255,3388,73.181,2.000,0.905,0.454
ID308169,308169,0,10.557,266.859,125.329,0,7,7,5,1,-10921639,34.969,4,1,255,3392,73.162,2.000,0.901,0.453
ID308170,308170,1,21.036,322.501,159.557,0,7,7,5,1,-10921639,106.041,44,9,255,10286,103.249,5.138,0.879,0.961
ID308171,308171,2,21.971,239.608,265.784,0,7,7,5,1,-10921639,109.639,57,14,255,10635,98.640,5.122,0.846,1.019
